bin;value;reference;anomaly
0;14674;17566.83333;-2892.833333
1;8674;12821.5;-4147.5
2;12542;17195.33333;-4653.333333
3;12919;19320.5;-6401.5
4;35717;50594.5;-14877.5
5;85749;108139.1667;-22390.16667
6;177783;201551.1667;-23768.16667
7;198932;228861;-29929
8;168602;191531.5;-22929.5
9;152906;174936.8333;-22030.83333
10;167394;136264.5;-31129.5
11;130010.6667;109831.3333;-20179.33333
12;132602;109408.1667;-23193.83333
13;129138;110175.8333;-18962.16667
14;208369.0001;177850.0001;-30519
15;226764;246091;-19327
16;235538;244927.5;-9389.5
17;216345;221016.3333;-4671.333333
18;168512;163041.6667;5470.333333
19;122347;112343.6667;10003.33333
20;77911;86210.33333;-8299.333333
21;65176;67083;-1907
22;61650;45754.66667;15895.33333
23;30686;28436.83333;20000
