bin;value;reference;anomaly
0;10481.42857;12547.73809;-2066.309524
1;6195.714286;9158.214286;-2962.5
2;8958.571429;12282.38095;-3323.809524
3;9227.857143;13800.35714;-4572.5
4;25512.14286;36138.92857;-10626.78571
5;61249.28571;77242.26193;-15992.97619
6;126987.8571;143965.1191;-16977.26191
7;142094.2857;163472.1429;-21377.85714
8;120430;136808.2143;-16378.21429
9;109218.5714;124954.8809;-15736.30952
10;119567.1429;134390.7143;-14823.57143
11;139297.1429;153710.9524;-14413.80952
12;142073.5714;158640.5952;-16567.02381
13;138362.1429;151906.5476;-13544.40476
14;148835;163367.8571;-14532.85714
15;161974.2857;175779.2857;-13805
16;168241.4286;174948.2143;-6706.785714
17;154532.1429;157868.8095;-3336.666666
18;120365.7143;116458.3334;3907.380952
19;87390.71429;80245.47621;7145.238093
20;55650.71429;61578.80952;-5928.095238
21;46554.28571;47916.42857;-1362.142857
22;44035.71429;32681.90476;11353.80952
23;21918.57143;20312.02381;14285.71429
