bin;value;reference;anomaly
0;14674.0;17566.833333333332;-2892.8333333333335
1;8674.0;12821.5;-4147.5
2;12542.0;17195.333333333332;-4653.333333333333
3;12919.0;19320.5;-6401.5
4;35717.0;50594.5;-14877.5
5;85749.0;108139.16666666667;-22390.166666666664
6;177783.0;201551.16666666666;-23768.166666666664
7;198932.0;228861.0;-29928.999999999996
8;168602.0;191531.5;-22929.499999999996
9;152906.0;174936.83333333334;-22030.833333333332
10;167394.0;188147.0;-20752.999999999996
11;195016.0;215195.33333333334;-20179.333333333332
12;198903.0;222096.83333333334;-23193.833333333332
13;193707.0;212669.16666666666;-18962.166666666664
14;208369.0;228715.0;-20345.999999999996
15;226764.0;246091.0;-19326.999999999996
16;235538.0;244927.5;-9389.499999999996
17;216345.0;221016.33333333334;-4671.333333333331
18;168512.0;163041.66666666666;5470.333333333334
19;122347.0;112343.66666666667;10003.333333333334
20;77911.0;86210.33333333333;-8299.333333333332
21;65176.0;67083.0;-1906.9999999999995
22;61650.0;45754.666666666664;15895.333333333334
23;30686.0;28436.833333333332;2249.166666666667
