hour,A,B,C,D,E
0,25031.61,3843.39,1307.99,987.17,2222.02
1,18924.31,2517.4,660.73,753.59,1690.69
2,21888.48,2079.82,378.35,805.62,2154.4
3,21036.61,3193.61,875.24,679.59,1757.61
4,39879.07,8913.32,3429.39,1201.33,3275.44
5,77563.31,16102.9,4705.14,2202.66,5015.16
6,130171.66,23102.26,9027.68,5055.05,9133.46
7,141516.26,19776.16,15000.62,8195.3,9713.37
8,138702.71,14202.19,9991.45,6336.69,6804.4
9,142033.2,12094.38,7454.88,4785.45,6405.72
10,157665.96,12374.43,7731.49,4952.82,6966.78
11,178675.84,12960.96,9223.82,5637.0,7826.98
12,184261.01,15173.89,10921.86,6171.69,8019.06
13,180940.24,15192.59,11008.57,5978.19,8020.28
14,186300.11,16737.27,12668.27,6680.34,8678.54
15,190704.98,19555.45,14212.09,7119.03,9529.78
16,185540.2,20771.32,15000.73,7293.66,11891.24
17,169488.29,17886.29,14260.53,7124.84,10206.76
18,136484.32,13517.53,10466.71,5753.31,8000.28
19,102844.19,10764.17,7935.59,4069.98,5957.87
20,78359.46,8886.99,5417.82,3291.62,4576.63
21,65456.94,7837.54,4373.37,2727.74,4008.94
22,52841.36,6822.65,4076.25,2190.18,3651.24
23,36917.88,4808.17,2515.86,1616.39,2916.09
