hour,val_a,val_b,ref_a,ref_b
0,14674.0,14674.0,17566.83,17566.83
1,8674.0,8674.0,12821.5,12821.5
2,12542.0,12542.0,17195.33,17195.33
3,12919.0,12919.0,19320.5,19320.5
4,35717.0,35717.0,50594.5,50594.5
5,85749.0,85749.0,108139.17,108139.17
6,177783.0,177783.0,201551.17,201551.17
7,198932.0,198932.0,228861.0,228861.0
8,168602.0,168602.0,191531.5,191531.5
9,152906.0,152906.0,174936.83,174936.83
10,167394.0,167394.0,188147.0,188147.0
11,195016.0,195016.0,215195.33,215195.33
12,198903.0,198903.0,222096.83,222096.83
13,193707.0,193707.0,212669.17,212669.17
14,208369.0,208369.0,228715.0,228715.0
15,226764.0,226764.0,246091.0,246091.0
16,235538.0,235538.0,244927.5,244927.5
17,216345.0,216345.0,221016.33,221016.33
18,168512.0,168512.0,163041.67,163041.67
19,122347.0,122347.0,112343.67,112343.67
20,77911.0,77911.0,86210.33,86210.33
21,65176.0,65176.0,67083.0,67083.0
22,61650.0,61650.0,45754.67,45754.67
23,30686.0,30686.0,28436.83,28436.83
