hour;type01;type02;type03;type04;type05;type06;type07
0;33392.18571;25031.61429;8360.571429;3843.392857;1307.985714;987.1714286;2222.021429
1;24546.72143;18924.3119;5622.409524;2517.402381;660.7333333;753.5880952;1690.685714
2;27306.67143;21888.47857;5418.192857;2079.816667;378.35;805.6214286;2154.404762
3;27542.65714;21036.60714;6506.05;3193.614286;875.2428571;679.5857143;1757.607143
4;56698.54048;39879.07143;16819.46905;8913.319048;3429.388095;1201.32619;3275.435714
5;105589.1667;77563.30714;28025.85952;16102.89762;4705.140476;2202.659524;5015.161905
6;176490.1119;130171.6643;46318.44762;23102.2619;9027.67619;5055.045238;9133.464286
7;194201.7143;141516.2571;52685.45714;19776.1619;15000.62381;8195.304762;9713.366667
8;176037.4381;138702.7143;37334.72381;14202.19286;9991.445238;6336.688095;6804.397619
9;172773.6214;142033.1976;30740.42381;12094.37619;7454.878571;4785.452381;6405.716667
10;189691.4833;157665.9595;32025.52381;12374.43333;7731.485714;4952.82381;6966.780952
11;214324.6;178675.8429;35648.75714;12960.9619;9223.819048;5637;7826.97619
12;224547.5095;184261.0143;40286.49524;15173.89286;10921.85714;6171.688095;8019.057143
13;221139.869;180940.2429;40199.62619;15192.58571;11008.56905;5978.190476;8020.280952
14;231064.5405;186300.1119;44764.42857;16737.27143;12668.27381;6680.340476;8678.542857
15;241121.331;190704.9786;50416.35238;19555.45;14212.08571;7119.033333;9529.783333
16;240497.1429;185540.1976;54956.94524;20771.31905;15000.72857;7293.661905;11891.23571
17;218966.7095;169488.2929;49478.41667;17886.2881;14260.52619;7124.838095;10206.76429
18;174222.1548;136484.3167;37737.8381;13517.53095;10466.7119;5753.314286;8000.280952
19;131571.7952;102844.1905;28727.60476;10764.17143;7935.590476;4069.97619;5957.866667
20;100532.519;78359.45952;22173.05952;8886.992857;5417.821429;3291.616667;4576.628571
21;84404.52619;65456.94048;18947.58571;7837.540476;4373.366667;2727.738095;4008.940476
22;69581.67381;52841.3619;16740.3119;6822.647619;4076.247619;2190.180952;3651.235714
23;48774.39524;36917.87857;11856.51667;4808.171429;2515.864286;1616.392857;2916.088095
