hour;rail;uBahn;tram;bus
0;3843.392857;1307.985714;987.1714286;2222.021429
1;2517.402381;660.7333333;753.5880952;1690.685714
2;2079.816667;378.35;805.6214286;2154.404762
3;3193.614286;875.2428571;679.5857143;1757.607143
4;8913.319048;3429.388095;1201.32619;3275.435714
5;16102.89762;4705.140476;2202.659524;5015.161905
6;23102.2619;9027.67619;5055.045238;9133.464286
7;19776.1619;15000.62381;8195.304762;9713.366667
8;14202.19286;9991.445238;6336.688095;6804.397619
9;12094.37619;7454.878571;4785.452381;6405.716667
10;12374.43333;7731.485714;4952.82381;6966.780952
11;12960.9619;9223.819048;5637;7826.97619
12;15173.89286;10921.85714;6171.688095;8019.057143
13;15192.58571;11008.56905;5978.190476;8020.280952
14;16737.27143;12668.27381;6680.340476;8678.542857
15;19555.45;14212.08571;7119.033333;9529.783333
16;20771.31905;15000.72857;7293.661905;11891.23571
17;17886.2881;14260.52619;7124.838095;10206.76429
18;13517.53095;10466.7119;5753.314286;8000.280952
19;10764.17143;7935.590476;4069.97619;5957.866667
20;8886.992857;5417.821429;3291.616667;4576.628571
21;7837.540476;4373.366667;2727.738095;4008.940476
22;6822.647619;4076.247619;2190.180952;3651.235714
23;4808.171429;2515.864286;1616.392857;2916.088095
